AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
39.0,1.0,19.0,4.0,136.0,6.0,0.0,40.0,2.0,1.0
38.0,1.0,15.0,1.0,7315.0,6.0,0.0,50.0,1.0,1.0
26.0,5.0,16.0,5.0,9825.0,6.0,17.0,80.0,1.0,1.0
25.0,1.0,21.0,5.0,1006.0,41.0,13.0,60.0,1.0,9.0
52.0,1.0,1.0,5.0,4230.0,312.0,0.0,40.0,2.0,1.0
43.0,3.0,17.0,1.0,2861.0,6.0,1.0,40.0,1.0,1.0
64.0,1.0,19.0,1.0,3515.0,206.0,0.0,33.0,1.0,6.0
36.0,1.0,20.0,5.0,3255.0,6.0,0.0,36.0,2.0,6.0
41.0,1.0,16.0,1.0,4720.0,6.0,0.0,60.0,1.0,1.0
31.0,1.0,12.0,1.0,6040.0,303.0,1.0,40.0,2.0,1.0
